id,sku,name,type,category,price,regular_price,discount_pct,price_txt,on_sale,price_contact,in_stock,stock_label,sale_until,price_verified,variation_count,permalink
8021,"M-NT500","Đèn Năng Lượng Mặt Trời Công Trình M-MT 500W",variable,"Đèn năng lượng mặt trời ngoài trời",1680000,2100000,20,"1.680.000 ₫",true,false,true,"Còn hàng","",true,2,https://maxsolar.vn/den-nang-luong-mat-troi-cong-trinh-m-mt-500w/
7485,"M-MN800W","Đèn Năng Lượng Mặt Trời Công Trình Mắt Ngọc M-MN800W",simple,"Đèn năng lượng mặt trời ngoài trời",2100000,3000000,30,"2.100.000 ₫",true,false,true,"Còn hàng","2026-09-25",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-cong-trinh-mat-ngoc-m-mn800w/
2490,"DLT600W","Đèn năng lượng mặt trời liền thể M-LT 600W Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",1450000,2071000,30,"1.450.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-lien-the-600w/
4665,"M-LT800","Đèn Năng Lượng Mặt Trời Liền Thể M-LT 800W",simple,"Đèn đường năng lượng mặt trời",1680000,2200000,24,"1.680.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-lien-the-m-lt800/
7958,"UFO1000W","Đèn năng lượng mặt trời liền thể M-UFO 1000W Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",1880000,2116000,11,"1.880.000 ₫",true,false,true,"Còn hàng","2026-09-24",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-lien-the-m-ufo-1000w-maxsolar/
2645,"UFO600W","Đèn năng lượng mặt trời liền thể M-UFO 800W Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",1680000,2116000,21,"1.680.000 ₫",true,false,true,"Còn hàng","2026-09-29",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-lien-the-ufo-800w/
2649,"UFO500","Đèn Năng Lượng Mặt Trời Liền Thể M-UFO500W Maxsolar",simple,"Đèn năng lượng mặt trời ngoài trời",1420000,1880000,24,"1.420.000 ₫",true,false,true,"Còn hàng","2026-09-28",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-lien-the-ufo-500w/
3092,"1PIN2DEN","Đèn năng lượng mặt trời mắt ngọc M-TN 500W 1 pin 2 đèn Maxsolar",simple,"Đèn năng lượng mặt trời trong nhà",1880000,2250000,16,"1.880.000 ₫",true,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-500w-1-pin-2-den/
5663,"OEM-VN-V1","Đèn Năng Lượng Mặt Trời Mini Xách Tay OEM-VN-V1",simple,"Đèn năng lượng mặt trời",280000,280000,0,"280.000 ₫",false,false,false,"Hết hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-mini-xach-tay-oem-vn-v1/
2539,"DOT1000W","Đèn năng lượng mặt trời ốp trần trong nhà M-OT 1000W Maxsolar",simple,"Đèn năng lượng mặt trời trong nhà",1580000,2200000,28,"1.580.000 ₫",true,false,true,"Còn hàng","2027-12-31",true,0,https://maxsolar.vn/den-nang-luong-mat-troi-op-tran-trong-nha-1000w/
